,Custom Scoring for Cross Validation,F1 for Cross Validation {Class_Weight = {0: 0.15}
F1,0.09523809523809525,0.2888888888888889
TPR,0.21951219512195122,0.43333333333333335
FPR,0.07772020725388601,0.12176165803108809
Precision,0.09090909090909091,0.21666666666666667
Accuracy,0.8629807692307693,0.8461538461538461
