,"Custom Scoring CV, W = 250","F1 CV, Class_weight = {0:0.15}"
F1,,0.29629629629629634
TPR,0.0,0.1951219512195122
FPR,0.0,0.013297872340425532
Precision,,0.6153846153846154
Accuracy,0.9016786570743405,0.9088729016786571
