,Baseline,T = 0.5,T = 0.2,T = 0.1,T = 0.08,T = 0.064
F1,n/a,0.11764705882352941,0.17142857142857143,0.2608695652173913,0.23602484472049687,0.23157894736842105
TPR,0,0.06666666666666667,0.2,0.6,0.6333333333333333,0.7333333333333333
FPR,0,0.0051813471502590676,0.2,0.23316062176165803,0.29015544041450775,0.35751295336787564
Precision,n/a,0.5,0.15,0.16666666666666666,0.1450381679389313,0.1375
Accuracy,0.93,0.9278846153846154,0.8605769230769231,0.7548076923076923,0.7043269230769231,0.6490384615384616
